
CondaError: Run 'conda init' before 'conda activate'

[GPU 0] Subsets 1-4 (4 tasks)

>>>>>>>>>> [GPU 0] (1/4) actions-zzid2-zb1hq-fsod-amih <<<<<<<<<<
/home/chenzhigang/anaconda3/envs/sam3/lib/python3.12/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
17:39:43 [INFO] ============================================================
17:39:43 [INFO] RF20VL Few-Shot Object Detection — Inference
17:39:43 [INFO] ============================================================
17:39:43 [INFO] Arguments: {'data_path': './data', 'split': 'test', 'subset': 'actions-zzid2-zb1hq-fsod-amih', 'device': 'cuda', 'nms_iou': 0.8, 'output_json': None, 'debug': False, 'no_vis': False}
17:39:43 [INFO] Loading Sam3Segmenter on cuda ...
17:40:08 [INFO] Model loaded in 25.10 s
17:40:08 [INFO] Found 1 subset(s): ['actions-zzid2-zb1hq-fsod-amih']
17:40:08 [INFO] Dataset loaded: subset=actions-zzid2-zb1hq-fsod-amih, samples=726, categories={1: 'Attack', 2: 'Block', 3: 'Defense', 4: 'Serve', 5: 'Set', 6: 'ball'} (0.21 s)
17:40:16 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 1/726 | category=Attack | supports=10 | candidates=28 | visual=30 tv=25 text=0 | 7.01 s
17:42:17 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 22/726 | category=Attack | supports=10 | candidates=20 | visual=21 tv=18 text=0 | 5.73 s
17:42:23 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 23/726 | category=Attack | supports=10 | candidates=20 | visual=20 tv=20 text=0 | 5.72 s
17:42:29 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 24/726 | category=Attack | supports=10 | candidates=18 | visual=18 tv=17 text=0 | 5.56 s
17:42:35 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 25/726 | category=Attack | supports=10 | candidates=13 | visual=16 tv=15 text=0 | 5.21 s
17:42:41 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 26/726 | category=Attack | supports=10 | candidates=28 | visual=27 tv=26 text=0 | 6.31 s
17:42:47 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 27/726 | category=Attack | supports=10 | candidates=18 | visual=19 tv=18 text=0 | 5.56 s
17:42:53 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 28/726 | category=Attack | supports=10 | candidates=21 | visual=20 tv=19 text=0 | 5.78 s
17:43:00 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 29/726 | category=Attack | supports=10 | candidates=26 | visual=29 tv=25 text=0 | 6.17 s
17:43:06 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 30/726 | category=Attack | supports=10 | candidates=19 | visual=20 tv=19 text=0 | 5.64 s
17:43:12 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 31/726 | category=Attack | supports=10 | candidates=29 | visual=29 tv=29 text=0 | 6.37 s
17:43:18 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 32/726 | category=Attack | supports=10 | candidates=15 | visual=20 tv=16 text=0 | 5.33 s
17:43:24 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 33/726 | category=Attack | supports=10 | candidates=17 | visual=17 tv=17 text=0 | 5.47 s
17:43:30 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 34/726 | category=Attack | supports=10 | candidates=25 | visual=27 tv=25 text=0 | 6.08 s
17:43:36 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 35/726 | category=Attack | supports=10 | candidates=15 | visual=18 tv=18 text=0 | 5.34 s
17:43:42 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 36/726 | category=Attack | supports=10 | candidates=23 | visual=27 tv=25 text=0 | 5.96 s
17:43:48 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 37/726 | category=Attack | supports=10 | candidates=27 | visual=26 tv=23 text=0 | 6.27 s
17:43:54 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 38/726 | category=Attack | supports=10 | candidates=13 | visual=13 tv=13 text=0 | 5.23 s
17:44:00 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 39/726 | category=Attack | supports=10 | candidates=17 | visual=18 tv=17 text=0 | 5.52 s
17:44:06 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 40/726 | category=Attack | supports=10 | candidates=19 | visual=19 tv=19 text=0 | 5.67 s
17:44:13 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 41/726 | category=Attack | supports=10 | candidates=31 | visual=9 tv=7 text=0 | 6.59 s
17:44:19 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 42/726 | category=Attack | supports=10 | candidates=22 | visual=24 tv=22 text=0 | 5.87 s
17:44:24 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 43/726 | category=Attack | supports=10 | candidates=15 | visual=16 tv=16 text=0 | 5.39 s
17:44:30 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 44/726 | category=Attack | supports=10 | candidates=16 | visual=17 tv=16 text=0 | 5.43 s
17:44:36 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 45/726 | category=Attack | supports=10 | candidates=17 | visual=18 tv=17 text=0 | 5.52 s
17:44:42 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 46/726 | category=Attack | supports=10 | candidates=18 | visual=20 tv=19 text=0 | 5.60 s
17:44:48 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 47/726 | category=Attack | supports=10 | candidates=19 | visual=17 tv=17 text=0 | 5.66 s
17:44:54 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 48/726 | category=Attack | supports=10 | candidates=19 | visual=19 tv=18 text=0 | 5.65 s
17:44:59 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 49/726 | category=Attack | supports=10 | candidates=13 | visual=15 tv=13 text=0 | 5.20 s
17:45:05 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 50/726 | category=Attack | supports=10 | candidates=18 | visual=20 tv=16 text=0 | 5.57 s
17:45:11 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 51/726 | category=Attack | supports=10 | candidates=21 | visual=20 tv=20 text=0 | 5.81 s
17:45:17 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 52/726 | category=Attack | supports=10 | candidates=18 | visual=19 tv=19 text=0 | 5.56 s
17:45:23 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 53/726 | category=Attack | supports=10 | candidates=16 | visual=16 tv=15 text=0 | 5.44 s
17:45:28 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 54/726 | category=Attack | supports=10 | candidates=13 | visual=12 tv=12 text=0 | 5.27 s
17:45:35 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 55/726 | category=Attack | supports=10 | candidates=28 | visual=28 tv=27 text=0 | 6.45 s
17:45:41 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 56/726 | category=Attack | supports=10 | candidates=15 | visual=15 tv=15 text=0 | 5.48 s
17:45:47 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 57/726 | category=Attack | supports=10 | candidates=19 | visual=20 tv=19 text=0 | 5.77 s
17:45:53 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 58/726 | category=Attack | supports=10 | candidates=16 | visual=18 tv=16 text=0 | 5.44 s
17:45:59 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 59/726 | category=Attack | supports=10 | candidates=21 | visual=24 tv=21 text=0 | 5.82 s
17:46:04 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 60/726 | category=Attack | supports=10 | candidates=14 | visual=13 tv=13 text=0 | 5.28 s
17:46:10 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 61/726 | category=Attack | supports=10 | candidates=20 | visual=18 tv=18 text=0 | 5.70 s
17:46:17 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 62/726 | category=Attack | supports=10 | candidates=23 | visual=25 tv=23 text=0 | 5.94 s
17:46:23 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 63/726 | category=Attack | supports=10 | candidates=20 | visual=25 tv=20 text=0 | 5.71 s
17:46:28 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 64/726 | category=Attack | supports=10 | candidates=15 | visual=15 tv=15 text=0 | 5.34 s
17:46:35 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 65/726 | category=Attack | supports=10 | candidates=27 | visual=27 tv=27 text=0 | 6.22 s
17:46:41 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 66/726 | category=Attack | supports=10 | candidates=19 | visual=24 tv=19 text=0 | 5.65 s
17:46:46 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 67/726 | category=Attack | supports=10 | candidates=16 | visual=15 tv=15 text=0 | 5.45 s
17:46:53 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 68/726 | category=Attack | supports=10 | candidates=22 | visual=24 tv=24 text=0 | 5.88 s
17:46:58 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 69/726 | category=Attack | supports=10 | candidates=14 | visual=15 tv=14 text=0 | 5.28 s
17:47:04 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 70/726 | category=Attack | supports=10 | candidates=18 | visual=17 tv=15 text=0 | 5.58 s
17:47:10 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 71/726 | category=Attack | supports=10 | candidates=16 | visual=16 tv=16 text=0 | 5.43 s
17:47:15 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 72/726 | category=Attack | supports=10 | candidates=14 | visual=15 tv=13 text=0 | 5.29 s
17:47:21 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 73/726 | category=Attack | supports=10 | candidates=14 | visual=14 tv=14 text=0 | 5.27 s
17:47:27 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 74/726 | category=Attack | supports=10 | candidates=15 | visual=15 tv=15 text=0 | 5.34 s
17:47:32 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 75/726 | category=Attack | supports=10 | candidates=11 | visual=11 tv=10 text=0 | 5.06 s
17:47:38 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 76/726 | category=Attack | supports=10 | candidates=20 | visual=17 tv=18 text=0 | 5.73 s
17:47:44 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 77/726 | category=Attack | supports=10 | candidates=26 | visual=33 tv=27 text=0 | 6.17 s
17:47:50 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 78/726 | category=Attack | supports=10 | candidates=15 | visual=14 tv=14 text=0 | 5.42 s
17:47:56 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 79/726 | category=Attack | supports=10 | candidates=14 | visual=15 tv=14 text=0 | 5.28 s
17:48:01 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 80/726 | category=Attack | supports=10 | candidates=15 | visual=16 tv=15 text=0 | 5.41 s
17:48:07 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 81/726 | category=Attack | supports=10 | candidates=11 | visual=11 tv=11 text=0 | 5.08 s
17:48:13 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 82/726 | category=Attack | supports=10 | candidates=17 | visual=19 tv=17 text=0 | 5.50 s
17:48:19 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 83/726 | category=Attack | supports=10 | candidates=27 | visual=9 tv=7 text=0 | 6.31 s
17:48:25 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 84/726 | category=Attack | supports=10 | candidates=15 | visual=14 tv=14 text=0 | 5.35 s
17:48:31 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 85/726 | category=Attack | supports=10 | candidates=19 | visual=23 tv=21 text=0 | 5.66 s
17:48:37 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 86/726 | category=Attack | supports=10 | candidates=19 | visual=17 tv=16 text=0 | 5.66 s
17:48:43 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 87/726 | category=Attack | supports=10 | candidates=20 | visual=17 tv=17 text=0 | 5.71 s
17:48:48 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 88/726 | category=Attack | supports=10 | candidates=16 | visual=23 tv=19 text=0 | 5.42 s
17:48:54 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 89/726 | category=Attack | supports=10 | candidates=15 | visual=16 tv=15 text=0 | 5.36 s
17:49:00 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 90/726 | category=Attack | supports=10 | candidates=23 | visual=21 tv=20 text=0 | 5.93 s
17:49:06 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 91/726 | category=Attack | supports=10 | candidates=20 | visual=19 tv=19 text=0 | 5.76 s
17:49:13 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 92/726 | category=Attack | supports=10 | candidates=27 | visual=28 tv=25 text=0 | 6.22 s
17:49:19 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 93/726 | category=Attack | supports=10 | candidates=22 | visual=24 tv=22 text=0 | 5.85 s
17:49:25 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 94/726 | category=Attack | supports=10 | candidates=25 | visual=24 tv=24 text=0 | 6.09 s
17:49:32 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 95/726 | category=Attack | supports=10 | candidates=22 | visual=25 tv=21 text=0 | 5.87 s
17:49:37 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 96/726 | category=Attack | supports=10 | candidates=18 | visual=18 tv=18 text=0 | 5.57 s
17:49:44 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 97/726 | category=Attack | supports=10 | candidates=32 | visual=32 tv=30 text=0 | 6.63 s
17:49:50 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 98/726 | category=Attack | supports=10 | candidates=17 | visual=15 tv=15 text=0 | 5.50 s
17:49:56 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 99/726 | category=Attack | supports=10 | candidates=17 | visual=20 tv=18 text=0 | 5.51 s
17:50:02 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 100/726 | category=Attack | supports=10 | candidates=23 | visual=22 tv=21 text=0 | 5.95 s
17:50:08 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 101/726 | category=Block | supports=8 | candidates=22 | visual=28 tv=27 text=0 | 5.33 s
17:50:13 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 102/726 | category=Block | supports=8 | candidates=16 | visual=16 tv=16 text=0 | 4.72 s
17:50:18 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 103/726 | category=Block | supports=8 | candidates=18 | visual=21 tv=21 text=0 | 5.01 s
17:50:23 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 104/726 | category=Block | supports=8 | candidates=20 | visual=18 tv=17 text=0 | 5.00 s
17:50:28 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 105/726 | category=Block | supports=8 | candidates=18 | visual=17 tv=17 text=0 | 5.00 s
17:50:33 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 106/726 | category=Block | supports=8 | candidates=18 | visual=18 tv=18 text=0 | 5.00 s
17:50:39 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 107/726 | category=Block | supports=8 | candidates=28 | visual=29 tv=28 text=0 | 5.77 s
17:50:44 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 108/726 | category=Block | supports=8 | candidates=14 | visual=17 tv=17 text=0 | 4.71 s
17:50:49 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 109/726 | category=Block | supports=8 | candidates=18 | visual=18 tv=18 text=0 | 4.89 s
17:50:54 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 110/726 | category=Block | supports=8 | candidates=19 | visual=22 tv=21 text=0 | 5.10 s
17:50:59 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 111/726 | category=Block | supports=8 | candidates=13 | visual=14 tv=14 text=0 | 4.64 s
17:51:04 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 112/726 | category=Block | supports=8 | candidates=15 | visual=15 tv=15 text=0 | 4.80 s
17:51:09 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 113/726 | category=Block | supports=8 | candidates=19 | visual=21 tv=20 text=0 | 5.10 s
17:51:14 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 114/726 | category=Block | supports=8 | candidates=17 | visual=17 tv=17 text=0 | 4.80 s
17:51:19 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 115/726 | category=Block | supports=8 | candidates=13 | visual=14 tv=14 text=0 | 4.65 s
17:51:24 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 116/726 | category=Block | supports=8 | candidates=11 | visual=13 tv=12 text=0 | 4.37 s
17:51:28 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 117/726 | category=Block | supports=8 | candidates=12 | visual=13 tv=13 text=0 | 4.44 s
17:51:33 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 118/726 | category=Block | supports=8 | candidates=13 | visual=17 tv=16 text=0 | 4.65 s
17:51:38 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 119/726 | category=Block | supports=8 | candidates=16 | visual=17 tv=17 text=0 | 4.86 s
17:51:43 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 120/726 | category=Block | supports=8 | candidates=18 | visual=23 tv=23 text=0 | 4.87 s
17:51:48 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 121/726 | category=Block | supports=8 | candidates=16 | visual=20 tv=18 text=0 | 4.86 s
17:51:53 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 122/726 | category=Block | supports=8 | candidates=11 | visual=11 tv=11 text=0 | 4.37 s
17:51:57 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 123/726 | category=Block | supports=8 | candidates=12 | visual=12 tv=12 text=0 | 4.44 s
17:52:03 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 124/726 | category=Block | supports=8 | candidates=19 | visual=21 tv=21 text=0 | 5.09 s
17:52:08 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 125/726 | category=Block | supports=8 | candidates=16 | visual=19 tv=19 text=0 | 4.78 s
17:52:13 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 126/726 | category=Block | supports=8 | candidates=16 | visual=17 tv=17 text=0 | 4.87 s
17:52:18 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 127/726 | category=Block | supports=8 | candidates=17 | visual=21 tv=21 text=0 | 4.80 s
17:52:23 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 128/726 | category=Block | supports=8 | candidates=16 | visual=18 tv=17 text=0 | 4.87 s
17:52:28 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 129/726 | category=Block | supports=8 | candidates=18 | visual=18 tv=18 text=0 | 4.93 s
17:52:33 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 130/726 | category=Block | supports=8 | candidates=19 | visual=19 tv=19 text=0 | 5.11 s
17:52:38 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 131/726 | category=Block | supports=8 | candidates=14 | visual=16 tv=16 text=0 | 4.73 s
17:52:43 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 132/726 | category=Block | supports=8 | candidates=13 | visual=14 tv=13 text=0 | 4.67 s
17:52:47 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 133/726 | category=Block | supports=8 | candidates=13 | visual=13 tv=13 text=0 | 4.67 s
17:52:52 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 134/726 | category=Block | supports=8 | candidates=15 | visual=17 tv=15 text=0 | 4.80 s
17:52:58 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 135/726 | category=Block | supports=8 | candidates=17 | visual=18 tv=19 text=0 | 4.94 s
17:53:02 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 136/726 | category=Block | supports=8 | candidates=16 | visual=15 tv=15 text=0 | 4.72 s
17:53:08 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 137/726 | category=Block | supports=8 | candidates=17 | visual=18 tv=17 text=0 | 4.94 s
17:53:13 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 138/726 | category=Block | supports=8 | candidates=23 | visual=27 tv=25 text=0 | 5.39 s
17:53:18 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 139/726 | category=Block | supports=8 | candidates=13 | visual=14 tv=14 text=0 | 4.64 s
17:53:23 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 140/726 | category=Block | supports=8 | candidates=14 | visual=15 tv=16 text=0 | 4.72 s
17:53:28 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 141/726 | category=Block | supports=8 | candidates=16 | visual=16 tv=16 text=0 | 4.71 s
17:53:33 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 142/726 | category=Block | supports=8 | candidates=15 | visual=16 tv=15 text=0 | 4.81 s
17:53:38 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 143/726 | category=Block | supports=8 | candidates=16 | visual=14 tv=14 text=0 | 4.74 s
17:53:43 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 144/726 | category=Block | supports=8 | candidates=17 | visual=18 tv=18 text=0 | 5.01 s
17:53:48 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 145/726 | category=Block | supports=8 | candidates=14 | visual=14 tv=14 text=0 | 4.59 s
17:53:53 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 146/726 | category=Block | supports=8 | candidates=17 | visual=16 tv=16 text=0 | 4.82 s
17:53:58 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 147/726 | category=Block | supports=8 | candidates=21 | visual=23 tv=22 text=0 | 5.10 s
17:54:03 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 148/726 | category=Block | supports=8 | candidates=13 | visual=14 tv=13 text=0 | 4.67 s
17:54:07 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 149/726 | category=Block | supports=8 | candidates=13 | visual=13 tv=13 text=0 | 4.53 s
17:54:13 [INFO] [actions-zzid2-zb1hq-fsod-amih] sample 150/726 | category=Block | supports=8 | candidates=20 | visual=28 tv=29 text=0 | 5.20 s
