
CondaError: Run 'conda init' before 'conda activate'

[GPU 3] Subsets 13-16 (4 tasks)

>>>>>>>>>> [GPU 3] (1/4) recode-waste-czvmg-fsod-yxsw <<<<<<<<<<
/home/chenzhigang/anaconda3/envs/sam3/lib/python3.12/site-packages/torch/backends/__init__.py:46: UserWarning: Please use the new API settings to control TF32 behavior, such as torch.backends.cudnn.conv.fp32_precision = 'tf32' or torch.backends.cuda.matmul.fp32_precision = 'ieee'. Old settings, e.g, torch.backends.cuda.matmul.allow_tf32 = True, torch.backends.cudnn.allow_tf32 = True, allowTF32CuDNN() and allowTF32CuBLAS() will be deprecated after Pytorch 2.9. Please see https://pytorch.org/docs/main/notes/cuda.html#tensorfloat-32-tf32-on-ampere-and-later-devices (Triggered internally at /pytorch/aten/src/ATen/Context.cpp:80.)
  self.setter(val)
17:39:43 [INFO] ============================================================
17:39:43 [INFO] RF20VL Few-Shot Object Detection — Inference
17:39:43 [INFO] ============================================================
17:39:43 [INFO] Arguments: {'data_path': './data', 'split': 'test', 'subset': 'recode-waste-czvmg-fsod-yxsw', 'device': 'cuda', 'nms_iou': 0.8, 'output_json': None, 'debug': False, 'no_vis': False}
17:39:43 [INFO] Loading Sam3Segmenter on cuda ...
17:40:04 [INFO] Model loaded in 21.42 s
17:40:04 [INFO] Found 1 subset(s): ['recode-waste-czvmg-fsod-yxsw']
17:40:05 [INFO] Dataset loaded: subset=recode-waste-czvmg-fsod-yxsw, samples=1421, categories={1: 'aggregate', 2: 'cardboard', 3: 'hard plastic', 4: 'metal', 5: 'soft plastic', 6: 'timber'} (0.34 s)
17:40:11 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 1/1421 | category=aggregate | supports=2 | candidates=49 | visual=60 tv=60 text=0 | 6.27 s
17:42:19 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 30/1421 | category=aggregate | supports=2 | candidates=28 | visual=31 tv=30 text=0 | 3.85 s
17:42:24 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 31/1421 | category=aggregate | supports=2 | candidates=40 | visual=40 tv=40 text=0 | 4.84 s
17:42:28 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 32/1421 | category=aggregate | supports=2 | candidates=37 | visual=38 tv=36 text=0 | 4.59 s
17:42:34 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 33/1421 | category=aggregate | supports=2 | candidates=47 | visual=54 tv=51 text=0 | 5.31 s
17:42:38 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 34/1421 | category=aggregate | supports=2 | candidates=36 | visual=40 tv=39 text=0 | 4.45 s
17:42:42 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 35/1421 | category=aggregate | supports=2 | candidates=30 | visual=34 tv=33 text=0 | 4.00 s
17:42:46 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 36/1421 | category=aggregate | supports=2 | candidates=30 | visual=39 tv=32 text=0 | 4.00 s
17:42:50 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 37/1421 | category=aggregate | supports=2 | candidates=24 | visual=25 tv=26 text=0 | 3.55 s
17:42:55 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 38/1421 | category=aggregate | supports=2 | candidates=41 | visual=47 tv=44 text=0 | 4.83 s
17:42:59 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 39/1421 | category=aggregate | supports=2 | candidates=28 | visual=31 tv=31 text=0 | 3.89 s
17:43:03 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 40/1421 | category=aggregate | supports=2 | candidates=38 | visual=41 tv=41 text=0 | 4.69 s
17:43:08 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 41/1421 | category=aggregate | supports=2 | candidates=34 | visual=37 tv=38 text=0 | 4.34 s
17:43:12 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 42/1421 | category=aggregate | supports=2 | candidates=29 | visual=35 tv=35 text=0 | 3.93 s
17:43:16 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 43/1421 | category=aggregate | supports=2 | candidates=36 | visual=40 tv=38 text=0 | 4.43 s
17:43:20 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 44/1421 | category=aggregate | supports=2 | candidates=32 | visual=34 tv=33 text=0 | 4.20 s
17:43:24 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 45/1421 | category=aggregate | supports=2 | candidates=22 | visual=24 tv=24 text=0 | 3.38 s
17:43:28 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 46/1421 | category=aggregate | supports=2 | candidates=33 | visual=40 tv=39 text=0 | 4.24 s
17:43:33 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 47/1421 | category=aggregate | supports=2 | candidates=42 | visual=48 tv=45 text=0 | 4.88 s
17:43:38 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 48/1421 | category=aggregate | supports=2 | candidates=39 | visual=43 tv=41 text=0 | 4.66 s
17:43:41 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 49/1421 | category=aggregate | supports=2 | candidates=24 | visual=28 tv=26 text=0 | 3.53 s
17:43:46 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 50/1421 | category=aggregate | supports=2 | candidates=45 | visual=52 tv=50 text=0 | 5.14 s
17:43:50 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 51/1421 | category=aggregate | supports=2 | candidates=29 | visual=32 tv=33 text=0 | 3.92 s
17:43:55 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 52/1421 | category=aggregate | supports=2 | candidates=30 | visual=38 tv=38 text=0 | 4.01 s
17:43:59 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 53/1421 | category=aggregate | supports=2 | candidates=39 | visual=39 tv=41 text=0 | 4.70 s
17:44:03 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 54/1421 | category=aggregate | supports=2 | candidates=32 | visual=38 tv=36 text=0 | 4.15 s
17:44:08 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 55/1421 | category=aggregate | supports=2 | candidates=42 | visual=49 tv=48 text=0 | 4.94 s
17:44:13 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 56/1421 | category=aggregate | supports=2 | candidates=42 | visual=46 tv=45 text=0 | 4.94 s
17:44:18 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 57/1421 | category=aggregate | supports=2 | candidates=36 | visual=38 tv=37 text=0 | 4.44 s
17:44:23 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 58/1421 | category=aggregate | supports=2 | candidates=46 | visual=50 tv=47 text=0 | 5.22 s
17:44:26 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 59/1421 | category=aggregate | supports=2 | candidates=18 | visual=22 tv=22 text=0 | 3.08 s
17:44:31 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 60/1421 | category=aggregate | supports=2 | candidates=42 | visual=44 tv=42 text=0 | 4.87 s
17:44:34 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 61/1421 | category=aggregate | supports=2 | candidates=20 | visual=22 tv=21 text=0 | 3.22 s
17:44:38 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 62/1421 | category=aggregate | supports=2 | candidates=30 | visual=34 tv=34 text=0 | 3.97 s
17:44:43 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 63/1421 | category=aggregate | supports=2 | candidates=31 | visual=36 tv=36 text=0 | 4.06 s
17:44:47 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 64/1421 | category=aggregate | supports=2 | candidates=32 | visual=37 tv=38 text=0 | 4.11 s
17:44:51 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 65/1421 | category=aggregate | supports=2 | candidates=33 | visual=39 tv=38 text=0 | 4.20 s
17:44:56 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 66/1421 | category=aggregate | supports=2 | candidates=48 | visual=53 tv=54 text=0 | 5.33 s
17:45:01 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 67/1421 | category=aggregate | supports=2 | candidates=43 | visual=44 tv=45 text=0 | 4.96 s
17:45:06 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 68/1421 | category=aggregate | supports=2 | candidates=39 | visual=43 tv=42 text=0 | 4.67 s
17:45:10 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 69/1421 | category=aggregate | supports=2 | candidates=30 | visual=40 tv=37 text=0 | 3.99 s
17:45:15 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 70/1421 | category=aggregate | supports=2 | candidates=46 | visual=58 tv=52 text=0 | 5.21 s
17:45:21 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 71/1421 | category=aggregate | supports=2 | candidates=49 | visual=59 tv=56 text=0 | 5.43 s
17:45:25 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 72/1421 | category=aggregate | supports=2 | candidates=28 | visual=31 tv=31 text=0 | 3.85 s
17:45:30 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 73/1421 | category=aggregate | supports=2 | candidates=39 | visual=47 tv=48 text=0 | 4.70 s
17:45:33 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 74/1421 | category=aggregate | supports=2 | candidates=25 | visual=29 tv=29 text=0 | 3.63 s
17:45:37 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 75/1421 | category=aggregate | supports=2 | candidates=25 | visual=29 tv=28 text=0 | 3.64 s
17:45:42 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 76/1421 | category=aggregate | supports=2 | candidates=41 | visual=49 tv=50 text=0 | 4.83 s
17:45:45 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 77/1421 | category=aggregate | supports=2 | candidates=25 | visual=30 tv=30 text=0 | 3.63 s
17:45:49 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 78/1421 | category=aggregate | supports=2 | candidates=20 | visual=22 tv=21 text=0 | 3.30 s
17:45:53 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 79/1421 | category=aggregate | supports=2 | candidates=34 | visual=41 tv=40 text=0 | 4.31 s
17:45:58 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 80/1421 | category=aggregate | supports=2 | candidates=41 | visual=43 tv=42 text=0 | 4.88 s
17:46:02 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 81/1421 | category=aggregate | supports=2 | candidates=33 | visual=41 tv=37 text=0 | 4.22 s
17:46:07 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 82/1421 | category=aggregate | supports=2 | candidates=31 | visual=40 tv=37 text=0 | 4.11 s
17:46:10 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 83/1421 | category=aggregate | supports=2 | candidates=23 | visual=26 tv=25 text=0 | 3.51 s
17:46:13 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 84/1421 | category=aggregate | supports=2 | candidates=15 | visual=15 tv=15 text=0 | 2.95 s
17:46:18 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 85/1421 | category=aggregate | supports=2 | candidates=38 | visual=42 tv=41 text=0 | 4.67 s
17:46:23 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 86/1421 | category=aggregate | supports=2 | candidates=46 | visual=51 tv=48 text=0 | 5.26 s
17:46:27 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 87/1421 | category=aggregate | supports=2 | candidates=29 | visual=32 tv=31 text=0 | 3.90 s
17:46:31 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 88/1421 | category=aggregate | supports=2 | candidates=30 | visual=33 tv=37 text=0 | 4.00 s
17:46:35 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 89/1421 | category=aggregate | supports=2 | candidates=33 | visual=35 tv=37 text=0 | 4.28 s
17:46:41 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 90/1421 | category=aggregate | supports=2 | candidates=46 | visual=50 tv=47 text=0 | 5.37 s
17:46:45 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 91/1421 | category=aggregate | supports=2 | candidates=28 | visual=31 tv=31 text=0 | 3.85 s
17:46:50 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 92/1421 | category=aggregate | supports=2 | candidates=42 | visual=51 tv=50 text=0 | 4.92 s
17:46:53 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 93/1421 | category=aggregate | supports=2 | candidates=25 | visual=29 tv=27 text=0 | 3.64 s
17:46:57 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 94/1421 | category=aggregate | supports=2 | candidates=25 | visual=25 tv=25 text=0 | 3.63 s
17:47:01 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 95/1421 | category=aggregate | supports=2 | candidates=29 | visual=36 tv=34 text=0 | 3.94 s
17:47:05 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 96/1421 | category=aggregate | supports=2 | candidates=35 | visual=40 tv=38 text=0 | 4.37 s
17:47:10 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 97/1421 | category=aggregate | supports=2 | candidates=40 | visual=43 tv=42 text=0 | 4.75 s
17:47:15 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 98/1421 | category=aggregate | supports=2 | candidates=41 | visual=46 tv=44 text=0 | 4.84 s
17:47:19 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 99/1421 | category=aggregate | supports=2 | candidates=29 | visual=29 tv=29 text=0 | 3.93 s
17:47:23 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 100/1421 | category=aggregate | supports=2 | candidates=33 | visual=38 tv=38 text=0 | 4.28 s
17:47:27 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 101/1421 | category=aggregate | supports=2 | candidates=23 | visual=33 tv=30 text=0 | 3.52 s
17:47:30 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 102/1421 | category=aggregate | supports=2 | candidates=22 | visual=24 tv=22 text=0 | 3.43 s
17:47:36 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 103/1421 | category=aggregate | supports=2 | candidates=48 | visual=52 tv=50 text=0 | 5.43 s
17:47:40 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 104/1421 | category=aggregate | supports=2 | candidates=31 | visual=34 tv=33 text=0 | 4.11 s
17:47:44 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 105/1421 | category=aggregate | supports=2 | candidates=23 | visual=25 tv=26 text=0 | 3.50 s
17:47:48 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 106/1421 | category=aggregate | supports=2 | candidates=36 | visual=37 tv=37 text=0 | 4.46 s
17:47:51 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 107/1421 | category=aggregate | supports=2 | candidates=18 | visual=20 tv=19 text=0 | 3.11 s
17:47:56 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 108/1421 | category=aggregate | supports=2 | candidates=35 | visual=39 tv=39 text=0 | 4.38 s
17:48:00 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 109/1421 | category=aggregate | supports=2 | candidates=37 | visual=41 tv=41 text=0 | 4.51 s
17:48:04 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 110/1421 | category=aggregate | supports=2 | candidates=20 | visual=26 tv=23 text=0 | 3.28 s
17:48:08 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 111/1421 | category=aggregate | supports=2 | candidates=38 | visual=49 tv=47 text=0 | 4.70 s
17:48:12 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 112/1421 | category=aggregate | supports=2 | candidates=22 | visual=27 tv=28 text=0 | 3.43 s
17:48:16 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 113/1421 | category=aggregate | supports=2 | candidates=27 | visual=29 tv=30 text=0 | 3.85 s
17:48:20 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 114/1421 | category=aggregate | supports=2 | candidates=28 | visual=36 tv=37 text=0 | 3.86 s
17:48:24 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 115/1421 | category=aggregate | supports=2 | candidates=27 | visual=35 tv=34 text=0 | 3.79 s
17:48:28 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 116/1421 | category=aggregate | supports=2 | candidates=31 | visual=43 tv=39 text=0 | 4.10 s
17:48:32 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 117/1421 | category=aggregate | supports=2 | candidates=29 | visual=29 tv=29 text=0 | 3.93 s
17:48:35 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 118/1421 | category=aggregate | supports=2 | candidates=26 | visual=34 tv=31 text=0 | 3.72 s
17:48:41 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 119/1421 | category=aggregate | supports=2 | candidates=45 | visual=45 tv=45 text=0 | 5.13 s
17:48:45 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 120/1421 | category=aggregate | supports=2 | candidates=29 | visual=36 tv=34 text=0 | 3.91 s
17:48:47 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 121/1421 | category=aggregate | supports=2 | candidates=14 | visual=18 tv=17 text=0 | 2.79 s
17:48:53 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 122/1421 | category=aggregate | supports=2 | candidates=46 | visual=59 tv=58 text=0 | 5.21 s
17:48:57 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 123/1421 | category=aggregate | supports=2 | candidates=38 | visual=39 tv=40 text=0 | 4.61 s
17:49:03 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 124/1421 | category=aggregate | supports=2 | candidates=52 | visual=62 tv=59 text=0 | 5.63 s
17:49:08 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 125/1421 | category=aggregate | supports=2 | candidates=42 | visual=50 tv=47 text=0 | 4.93 s
17:49:13 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 126/1421 | category=aggregate | supports=2 | candidates=44 | visual=54 tv=47 text=0 | 5.07 s
17:49:16 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 127/1421 | category=aggregate | supports=2 | candidates=20 | visual=23 tv=25 text=0 | 3.30 s
17:49:20 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 128/1421 | category=aggregate | supports=2 | candidates=20 | visual=26 tv=25 text=0 | 3.27 s
17:49:23 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 129/1421 | category=aggregate | supports=2 | candidates=23 | visual=28 tv=25 text=0 | 3.51 s
17:49:27 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 130/1421 | category=aggregate | supports=2 | candidates=28 | visual=31 tv=30 text=0 | 3.87 s
17:49:31 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 131/1421 | category=aggregate | supports=2 | candidates=28 | visual=34 tv=33 text=0 | 3.89 s
17:49:36 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 132/1421 | category=aggregate | supports=2 | candidates=37 | visual=41 tv=39 text=0 | 4.58 s
17:49:39 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 133/1421 | category=aggregate | supports=2 | candidates=15 | visual=17 tv=17 text=0 | 2.88 s
17:49:42 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 134/1421 | category=aggregate | supports=2 | candidates=19 | visual=26 tv=23 text=0 | 3.19 s
17:49:46 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 135/1421 | category=aggregate | supports=2 | candidates=24 | visual=27 tv=25 text=0 | 3.55 s
17:49:49 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 136/1421 | category=aggregate | supports=2 | candidates=23 | visual=23 tv=23 text=0 | 3.48 s
17:49:53 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 137/1421 | category=aggregate | supports=2 | candidates=26 | visual=28 tv=29 text=0 | 3.70 s
17:49:58 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 138/1421 | category=aggregate | supports=2 | candidates=44 | visual=47 tv=48 text=0 | 5.13 s
17:50:02 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 139/1421 | category=aggregate | supports=2 | candidates=25 | visual=31 tv=31 text=0 | 3.64 s
17:50:06 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 140/1421 | category=aggregate | supports=2 | candidates=31 | visual=39 tv=38 text=0 | 4.06 s
17:50:09 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 141/1421 | category=aggregate | supports=2 | candidates=21 | visual=27 tv=31 text=0 | 3.33 s
17:50:15 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 142/1421 | category=aggregate | supports=2 | candidates=49 | visual=58 tv=57 text=0 | 5.53 s
17:50:19 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 143/1421 | category=aggregate | supports=2 | candidates=36 | visual=38 tv=38 text=0 | 4.48 s
17:50:24 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 144/1421 | category=aggregate | supports=2 | candidates=42 | visual=47 tv=46 text=0 | 4.92 s
17:50:30 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 145/1421 | category=aggregate | supports=2 | candidates=52 | visual=59 tv=55 text=0 | 5.69 s
17:50:34 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 146/1421 | category=aggregate | supports=2 | candidates=29 | visual=39 tv=38 text=0 | 3.95 s
17:50:37 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 147/1421 | category=aggregate | supports=2 | candidates=21 | visual=21 tv=20 text=0 | 3.39 s
17:50:42 [INFO] [recode-waste-czvmg-fsod-yxsw] sample 148/1421 | category=aggregate | supports=2 | candidates=38 | visual=46 tv=45 text=0 | 4.67 s
